Title,Domain,Branch,Type,Price,Description,ImageURL,DemoVideoURL,Tags,Featured
Control powered devices with mobile phone for free of cost This secure system works only for predefined phone numbers (eg: owner   number),Embedded,EEE,Prototype,24283,Project focusing on control powered devices with mobile phone for free of cost this secure system works only for predefined phone numbers (eg: owner   number).,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded,  EEE",FALSE
Automated Solar Quadcopter,Robotics,ECE,Prototype,26500,Solar drone for air inspection,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Solar, Drone",TRUE
Real-Time Object Tracking Robot Using YOLO and Raspberry Pi,Robotics,ECE,Product,16499,Develops an advanced real-time object tracking robot using yolo and raspberry pi to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, ECE, Automation",TRUE
AI-Based Gesture Controlled Rover Using ESP32-CAM,Robotics,ECE,Prototype,10999,Develops an advanced ai-based gesture controlled rover using esp32-cam to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, ECE, Automation",FALSE
Speech-to-Action Intelligent Robotic Car,Robotics,CSE,Product,12499,Develops an advanced speech-to-action intelligent robotic car to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",FALSE
Autonomous Shuttlecock Collecting Robot Using Computer Vision,Robotics,CSE,Product,15999,Develops an advanced autonomous shuttlecock collecting robot using computer vision to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",TRUE
IoT and AI Enabled Agriculture Monitoring Rover,Robotics,Civil,Prototype,14499,Develops an advanced iot and ai enabled agriculture monitoring rover to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Civil, Automation",FALSE
Machine Learning-Based Automatic Cooking Robot,Robotics,CSE,Prototype,17999,Develops an advanced machine learning-based automatic cooking robot to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",FALSE
AI-Based Smart Helmet Safety Monitoring System,Machine Learning,ECE,Prototype,17799,Develops an advanced ai-based smart helmet safety monitoring system to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, ECE, Automation",FALSE
Smart Blind Assistance Robot Using Ultrasonic Sensors and ML,Robotics,ECE,Product,9999,Develops an advanced smart blind assistance robot using ultrasonic sensors and ml to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, ECE, Automation",FALSE
Raspberry Pi Voice Controlled Robot with OLED UI,Robotics,ECE,Prototype,11999,Develops an advanced raspberry pi voice controlled robot with oled ui to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, ECE, Automation",TRUE
ESP32-CAM Based Smart Surveillance Robot Using AI,Robotics,ECE,Product,13799,Develops an advanced esp32-cam based smart surveillance robot using ai to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, ECE, Automation",TRUE
Autonomous Drone Rover Hybrid Robot Using AI,Robotics,CSE,Prototype,16999,Develops an advanced autonomous drone rover hybrid robot using ai to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",TRUE
Robotic Pet Companion with Emotion Detection,Robotics,CSE,Product,17799,Develops an advanced robotic pet companion with emotion detection to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",TRUE
AI-Based Underwater Inspection Robot,Robotics,CSE,Prototype,15999,Develops an advanced ai-based underwater inspection robot to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",TRUE
Machine Learning-Based Smart Rescue Robot,Robotics,CSE,Prototype,16499,Develops an advanced machine learning-based smart rescue robot to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",TRUE
Autonomous Shopping Cart Robot Using Computer Vision,Robotics,CSE,Prototype,9999,Develops an advanced autonomous shopping cart robot using computer vision to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",TRUE
Voice Assistant Integrated Home Automation Robot,Robotics,CSE,Prototype,10499,Develops an advanced voice assistant integrated home automation robot to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",FALSE
Smart Restaurant Serving Robot,Robotics,CSE,Prototype,17499,Develops an advanced smart restaurant serving robot to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",FALSE
AI-Based Chess Playing Robot,Robotics,CSE,Product,17499,Develops an advanced ai-based chess playing robot to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",TRUE
Self-Balancing Robot Using Reinforcement Learning,Robotics,CSE,Prototype,17499,Develops an advanced self-balancing robot using reinforcement learning to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",FALSE
Emotion Recognition Interactive Robot Using AI,Robotics,CSE,Product,15499,Develops an advanced emotion recognition interactive robot using ai to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",TRUE
Predictive Maintenance Robot for Smart Industries,Robotics,CSE,Product,16499,Develops an advanced predictive maintenance robot for smart industries to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",TRUE
Machine Learning-Based Industrial Inspection Robot,Robotics,Mechanical,Prototype,16999,Develops an advanced machine learning-based industrial inspection robot to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Mechanical, Automation",TRUE
AI-Based Pick and Place Robot,Robotics,CSE,Product,17799,Develops an advanced ai-based pick and place robot to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",TRUE
Robotic Arm for Defect Detection Using Deep Learning,Robotics,Mechanical,Product,17499,Develops an advanced robotic arm for defect detection using deep learning to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Mechanical, Automation",FALSE
Product Sorting Robot Using Computer Vision,Robotics,Mechanical,Prototype,13999,Develops an advanced product sorting robot using computer vision to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Mechanical, Automation",TRUE
AI-Based Bomb Detection Assistance Robot,Robotics,CSE,Prototype,16499,Develops an advanced ai-based bomb detection assistance robot to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",TRUE
Smart Patrol Robot with Object Tracking,Robotics,CSE,Product,12499,Develops an advanced smart patrol robot with object tracking to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",FALSE
Autonomous Border Monitoring Robot,Robotics,CSE,Product,16799,Develops an advanced autonomous border monitoring robot to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",FALSE
Intruder Detection Robot Using Machine Learning,Robotics,CSE,Prototype,17799,Develops an advanced intruder detection robot using machine learning to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",TRUE
AI Surveillance Robot with Face Recognition,Robotics,CSE,Prototype,17999,Develops an advanced ai surveillance robot with face recognition to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",TRUE
AI-Based Fruit Harvesting Robotic Arm,Robotics,Mechanical,Prototype,16799,Develops an advanced ai-based fruit harvesting robotic arm to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Mechanical, Automation",TRUE
Crop Monitoring Robot Using Deep Learning,Robotics,Civil,Prototype,15999,Develops an advanced crop monitoring robot using deep learning to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Civil, Automation",FALSE
Autonomous Weed Detection and Removal Robot,Robotics,Civil,Prototype,15499,Develops an advanced autonomous weed detection and removal robot to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Civil, Automation",TRUE
Smart Seed Sowing Robot Using Machine Learning,Robotics,Civil,Prototype,12799,Develops an advanced smart seed sowing robot using machine learning to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Civil, Automation",TRUE
AI-Based Multi-Purpose Agriculture Rover,Robotics,Civil,Prototype,16799,Develops an advanced ai-based multi-purpose agriculture rover to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Civil, Automation",FALSE
Autonomous Sanitization Robot Using Computer Vision,Robotics,CSE,Prototype,15799,Develops an advanced autonomous sanitization robot using computer vision to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",TRUE
Speech Recognition Controlled Assistive Robot,Robotics,CSE,Product,16999,Develops an advanced speech recognition controlled assistive robot to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",TRUE
Machine Learning-Based Robotic Wheelchair Navigation System,Robotics,Medical,Product,17499,Develops an advanced machine learning-based robotic wheelchair navigation system to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Medical, Automation",FALSE
AI-Powered Patient Assistance Robot,Robotics,Medical,Product,16499,Develops an advanced ai-powered patient assistance robot to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Medical, Automation",TRUE
Smart Medicine Delivery Robot Using AI,Robotics,Mechanical,Product,17499,Develops an advanced smart medicine delivery robot using ai to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Mechanical, Automation",TRUE
Machine Learning-Based Warehouse Management Robot,Robotics,Mechanical,Prototype,15999,Develops an advanced machine learning-based warehouse management robot to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Mechanical, Automation",FALSE
AI-Based Fire Fighting Robot with Real-Time Monitoring,Robotics,CSE,Product,15799,Develops an advanced ai-based fire fighting robot with real-time monitoring to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",FALSE
Autonomous Floor Cleaning Robot with Object Detection,Robotics,CSE,Product,13999,Develops an advanced autonomous floor cleaning robot with object detection to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",FALSE
Smart Waste Segregation Robot Using AI,Robotics,Civil,Prototype,15499,Develops an advanced smart waste segregation robot using ai to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Civil, Automation",TRUE
Gesture Controlled Robotic Vehicle Using Machine Learning,Robotics,CSE,Prototype,12999,Develops an advanced gesture controlled robotic vehicle using machine learning to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",TRUE
Voice Controlled Intelligent Robot Using Speech Recognition,Robotics,CSE,Product,10999,Develops an advanced voice controlled intelligent robot using speech recognition to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",FALSE
AI-Powered Obstacle Avoidance Robot Using Computer Vision,Robotics,CSE,Product,16999,Develops an advanced ai-powered obstacle avoidance robot using computer vision to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",TRUE
Machine Learning-Based Human Following Robot,Robotics,CSE,Prototype,15799,Develops an advanced machine learning-based human following robot to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, CSE, Automation",TRUE
Smart Agricultural Rover with Crop Disease Detection,Robotics,Civil,Product,16799,Develops an advanced smart agricultural rover with crop disease detection to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Civil, Automation",TRUE
AI-Based Autonomous Delivery Robot Using Machine Learning,Robotics,Mechanical,Product,15799,Develops an advanced ai-based autonomous delivery robot using machine learning to automate tasks and improve operational efficiency.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Mechanical, Automation",FALSE
Speed and direction controlling of dual stepper motor using MATLAB GUI,Simulation,Mechanical,Product,9524,Project focusing on speed and direction controlling of dual stepper motor using matlab gui.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, Mechanical",FALSE
DC motor speed controlling and monitoring with manual RPM input using MATLAB GUI,Simulation,Mechanical,Product,9524,Project focusing on dc motor speed controlling and monitoring with manual rpm input using matlab gui.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, Mechanical",TRUE
Electrical SCADA implementation using wireless Bluetooth based MATLAB,Simulation,EEE,Product,9528,Project focusing on electrical scada implementation using wireless bluetooth based matlab.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, EEE",FALSE
Security integrated system based on wireless access protocol for industrial appliances using MATLAB,Simulation,Civil,Prototype,9524,Project focusing on security integrated system based on wireless access protocol for industrial appliances using matlab.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, Civil",TRUE
Frequency locked loop (FLL) motor speed monitoring and controlling using MATLAB,Simulation,Mechanical,Prototype,9524,Project focusing on frequency locked loop (fll) motor speed monitoring and controlling using matlab.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, Mechanical",FALSE
Hall-effect sensor based motor speed plotting using MATLAB,Simulation,Mechanical,Product,9524,Project focusing on hall-effect sensor based motor speed plotting using matlab.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, Mechanical",TRUE
Power grid monitoring and controlling using MATLAB GUI,Simulation,EEE,Product,9528,Project focusing on power grid monitoring and controlling using matlab gui.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, EEE",FALSE
MATLAB based power theft monitoring and alerting at local substation with address,Simulation,EEE,Prototype,9528,Project focusing on matlab based power theft monitoring and alerting at local substation with address.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, EEE",FALSE
Unified power factor control system with capacitive bank filter and analysis using MATLAB,Simulation,EEE,Prototype,9528,Project focusing on unified power factor control system with capacitive bank filter and analysis using matlab.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, EEE",TRUE
Design of wireless intelligent home appliances control system using ARM and Zigbee based on MATLAB,Simulation,Medical,Prototype,9524,Project focusing on design of wireless intelligent home appliances control system using arm and zigbee based on matlab.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, Medical",TRUE
MATLAB GUI based Home/Industrial Automation,Simulation,EEE,Prototype,9528,Project focusing on matlab gui based home/industrial automation.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, EEE",TRUE
Plotting of temperature using MATLAB wireless communication,Simulation,EEE,Product,9528,Project focusing on plotting of temperature using matlab wireless communication.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, EEE",TRUE
Wireless communication based SCADA system implementation using zigbee based on MATLAB,Simulation,EEE,Product,9528,Project focusing on wireless communication based scada system implementation using zigbee based on matlab.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, EEE",FALSE
Implementation of wireless sensor network using MATLAB and zigbee,Simulation,ECE,Product,9499,Project focusing on implementation of wireless sensor network using matlab and zigbee.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, ECE",TRUE
Plotting and analysis of industrial parameters based MATLAB signal processing using ARM controller interfacing with zigbee,Simulation,EEE,Product,9528,Project focusing on plotting and analysis of industrial parameters based matlab signal processing using arm controller interfacing with zigbee.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, EEE",TRUE
Development of MATLAB based industrial/home device controlling with intensity based on wireless communication,Simulation,Medical,Prototype,9524,Project focusing on development of matlab based industrial/home device controlling with intensity based on wireless communication.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, Medical",TRUE
MATLAB based Close loop temperature for industrial boiler with Resonant Converter for Induction Heating,Simulation,Mechanical,Product,9524,Project focusing on matlab based close loop temperature for industrial boiler with resonant converter for induction heating.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, Mechanical",TRUE
Solar Based Coolants Control System with voltage graph on MATLAB software,Simulation,EEE,Product,9528,Project focusing on solar based coolants control system with voltage graph on matlab software.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, EEE",FALSE
Automated Solar Street lighting system using LED's,Machine Learning,EEE,Prototype,9801,Project focusing on automated solar street lighting system using led's.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, EEE",TRUE
Solar tracking system with automated water pump controlling,Robotics,EEE,Prototype,10002,Project focusing on solar tracking system with automated water pump controlling.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, EEE",FALSE
Design and Implementation of Intelligent Urban Irrigation System,Embedded,CSE,Product,6499,Project focusing on design and implementation of intelligent urban irrigation system.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded, CSE",FALSE
Smoke and Gas intensity based exhaust fan controlling for industrial use,Embedded,ECE,Product,8599,Project focusing on smoke and gas intensity based exhaust fan controlling for industrial use.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded, ECE",TRUE
Feeder overload Protection,Simulation,EEE,Product,9528,Project focusing on feeder overload protection.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, EEE",TRUE
Wireless control of Exhaust fan speed,IoT,Civil,Product,6499,Project focusing on wireless control of exhaust fan speed.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"IoT, Civil",FALSE
TRIAC and Temperature sensor based Speed control of exhaust fan,Large AI,ECE,Prototype,7999,Project focusing on triac and temperature sensor based speed control of exhaust fan.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Large AI, ECE",TRUE
Microcontroller based Protection of power transformer using relay,Simulation,EEE,Product,9528,Project focusing on microcontroller based protection of power transformer using relay.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, EEE",TRUE
Solar Powered self-activated water level sensing and water pumping system,Machine Learning,EEE,Product,9801,Project focusing on solar powered self-activated water level sensing and water pumping system.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, EEE",FALSE
Industrial parameters monitoring and crane controlling using Zigbee,Simulation,EEE,Product,9528,Project focusing on industrial parameters monitoring and crane controlling using zigbee.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, EEE",FALSE
Zigbee based power management system,Robotics,EEE,Prototype,10002,Project focusing on zigbee based power management system.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, EEE",TRUE
Water level indicator on LCD,Machine Learning,CSE,Product,8699,Project focusing on water level indicator on lcd.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, CSE",TRUE
Bidirectional counter based Power Management with maximum capacity alarm,Simulation,EEE,Product,9528,Project focusing on bidirectional counter based power management with maximum capacity alarm.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, EEE",FALSE
Touch screen based home automation with door controlling,Robotics,Mechanical,Product,12499,Project focusing on touch screen based home automation with door controlling.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Mechanical",FALSE
GSM based wireless Substation Fuse blown Indicator,Large AI,Civil,Product,7499,Project focusing on gsm based wireless substation fuse blown indicator.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Large AI, Civil",FALSE
Pulse Width Modulation (PWM) based DC Motor Closed loop Speed Controller,IoT,Mechanical,Prototype,8605,Project focusing on pulse width modulation (pwm) based dc motor closed loop speed controller.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"IoT, Mechanical",TRUE
Hall Effect sensor based non-contact Tachometer for electrical motors speed measurement,IoT,EEE,Product,9253,Project focusing on hall effect sensor based non-contact tachometer for electrical motors speed measurement.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"IoT, EEE",TRUE
Wireless electrical devices monitoring and controlling system for industrial applications,Embedded,EEE,Prototype,8573,Project focusing on wireless electrical devices monitoring and controlling system for industrial applications.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded, EEE",TRUE
IR Remote controlled Irrigation water pump controller with single phasing protection,Machine Learning,Mechanical,Prototype,9037,Project focusing on ir remote controlled irrigation water pump controller with single phasing protection.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, Mechanical",FALSE
Microcontroller based refrigeration control system,Embedded,Civil,Prototype,9299,Project focusing on microcontroller based refrigeration control system.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded, Civil",TRUE
Dual (active and standby) Lithium-ion battery charger for continuous non-interrupted power supply to critical loads,Machine Learning,EEE,Prototype,9801,Project focusing on dual (active and standby) lithium-ion battery charger for continuous non-interrupted power supply to critical loads.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, EEE",FALSE
High voltage fuse blown indicator with Voice based announcement system,Large AI,Civil,Prototype,7499,Project focusing on high voltage fuse blown indicator with voice based announcement system.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Large AI, Civil",FALSE
Frequency Locked Loop (FLL) Motor speed monitoring and control system,Embedded,Mechanical,Product,12500,Project focusing on frequency locked loop (fll) motor speed monitoring and control system.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded, Mechanical",FALSE
Timer based Electrical Oven temperature monitoring and control for Metal Industries,IoT,EEE,Prototype,9253,Project focusing on timer based electrical oven temperature monitoring and control for metal industries.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"IoT, EEE",FALSE
Hazardous chemical valve control system with stepper motor and RC remote control,Large AI,Mechanical,Product,10105,Project focusing on hazardous chemical valve control system with stepper motor and rc remote control.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Large AI, Mechanical",FALSE
Street Light monitoring and control system using GSM based mobile phone,Embedded,Civil,Prototype,9299,Project focusing on street light monitoring and control system using gsm based mobile phone.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded, Civil",TRUE
Wireless Energy Meter reading on hand-held device based on RF Transceiver,IoT,CSE,Product,8750,Project focusing on wireless energy meter reading on hand-held device based on rf transceiver.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"IoT, CSE",TRUE
Zigbee Based Energy Meter reading system on Graphical LCD,Large AI,Medical,Prototype,10105,Project focusing on zigbee based energy meter reading system on graphical lcd.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Large AI, Medical",TRUE
Smart Wireless Temperature Data Logger,Simulation,Medical,Prototype,9524,Project focusing on smart wireless temperature data logger.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Simulation, Medical",FALSE
"Electrical Data (voltage, current, frequency, temperature) Logger",Embedded,EEE,Product,8573,"Project focusing on electrical data (voltage, current, frequency, temperature) logger.",ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded, EEE",TRUE
Touch screen operated industrial oil dispensing system (OIL SCADA),Robotics,Medical,Product,10501,Project focusing on touch screen operated industrial oil dispensing system (oil scada).,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Medical",FALSE
Timer based automatic power cutoff for industrial sealing/packaging machines,IoT,EEE,Product,9253,Project focusing on timer based automatic power cutoff for industrial sealing/packaging machines.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"IoT, EEE",TRUE
-wired resistive touch screen controlled lamp dimmer for next generation apartments with Optical isolation and zero crossing detectors,Embedded,Mechanical,Prototype,12500,Project focusing on -wired resistive touch screen controlled lamp dimmer for next generation apartments with optical isolation and zero crossing detectors.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Embedded, Mechanical",TRUE
PIR Based Energy conservation system for corporate computers and lighting systems,Robotics,Civil,Prototype,10501,Project focusing on pir based energy conservation system for corporate computers and lighting systems.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Robotics, Civil",FALSE
Zigbee based wireless Energy Meter reading and logging system on PC,Machine Learning,Medical,Product,8499,Project focusing on zigbee based wireless energy meter reading and logging system on pc.,ADD_IMAGE_LINK,ADD_VIDEO_LINK,"Machine Learning, Medical",TRUE
